city,trades,contracts,cost,pnl
Dallas,564,912.28,371.4745,-121.9645
Washington DC,166,358.21,139.6975,-75.36749999999999
Houston,342,526.64,202.4494,-67.7394
San Francisco,327,483.18,156.9005,-57.0105
Seattle,245,447.91,187.9338,-39.1438
Atlanta,249,416.39,167.9322,-22.1822
Phoenix,189,206.27,84.2964,-8.6164
San Antonio,181,237.9,96.6715,-3.791499999999999
Minneapolis,59,128.08,58.487,-3.486999999999999
Boston,107,153.18,53.4554,0.7245999999999999
Las Vegas,15,27.73,12.4428,4.5272
New Orleans,242,332.78,131.7714,9.658600000000002
Oklahoma City,116,184.18,80.76989999999999,54.2701
