date,trades,contracts,cost,pnl
2026-07-23,37,36.89,15.810699999999999,-3.0006999999999997
2026-07-24,53,73.9,32.8496,7.050400000000001
2026-07-25,133,202.17,73.9998,45.300200000000004
2026-07-26,64,95.11,34.0178,-8.9178
2026-07-27,102,145.19,58.4574,-13.9674
2026-07-28,92,128.68,51.1388,-25.3288
2026-07-29,164,302.3,113.1313,-36.2313
2026-07-30,106,203.92,79.3833,-32.7233
2026-07-31,98,163.23,70.1699,5.3001000000000005
2026-08-01,73,103.16,43.5376,0.8423999999999987
2026-08-02,65,117.36,47.370599999999996,-12.8006
2026-08-03,63,107.67,46.953,-2.0329999999999995
2026-08-04,83,108.51,45.5597,-11.969700000000001
2026-08-05,89,144.14,64.3813,5.3187000000000015
2026-08-06,76,129.92,54.9974,-21.1974
2026-08-07,99,165.76,60.4806,1.7993999999999994
2026-08-08,76,140.07,57.675,-4.965
2026-08-09,88,107.71,44.5252,-20.4352
2026-08-10,177,225.1,91.4391,-69.6591
2026-08-11,131,231.13,92.2774,-52.5874
2026-08-12,85,158.56,58.9355,-40.0355
2026-08-13,54,88.37,37.269999999999996,11.68
2026-08-14,46,62.79,24.5236,-2.6935999999999996
2026-08-15,67,106.6,42.8478,-14.137799999999999
2026-08-16,58,85.48,33.387100000000004,-1.9570999999999998
2026-08-17,63,95.81,39.7087,19.8413
2026-08-18,98,139.1,52.9644,-41.8544
2026-08-19,127,193.06,72.1056,-30.735599999999998
2026-08-20,81,111.5,41.7832,-4.7232
2026-08-21,80,141.35,48.8964,0.3236000000000008
2026-08-22,76,152.19,55.2222,16.937800000000003
2026-08-23,62,91.32,35.7796,-1.5395999999999999
2026-08-24,36,56.68,22.7027,8.9773
