city,trades,contracts,cost,pnl
San Antonio,7362,150732.07,64836.0525,-10478.1034
Seattle,9666,215251.74,116787.0982,-9230.111
Minneapolis,9603,183020.35,91272.919,-9099.864
Dallas,13794,234717.58,101020.4444,-8886.1804
Atlanta,10675,203123.35,108597.3949,-7867.6149
Washington DC,8593,141713.92,76221.1883,-5675.7584
New Orleans,8734,170614.56,82450.5387,-5655.7329
Las Vegas,4412,83605.77,58672.1052,-4990.3979
Phoenix,16696,307966.94,217238.0627,-4178.9785999999995
Oklahoma City,13743,293904.46,167896.4238,-4090.2014
San Francisco,10044,168390.31,91931.4483,-3570.4317
Houston,9313,200518.65,97781.2641,-1975.0641
Boston,3570,55522.89,29490.8772,968.757
