city,d,fcst,actual,err
Atlanta,2026-05-08,74.0,73,-1.0
Atlanta,2026-05-09,76.5,71,-5.5
Atlanta,2026-05-10,83.0,83,0.0
Atlanta,2026-05-11,80.5,83,2.5
Atlanta,2026-05-12,74.0,73,-1.0
Atlanta,2026-05-13,81.0,81,0.0
Atlanta,2026-05-14,76.0,76,0.0
Atlanta,2026-05-15,79.5,79,-0.5
Atlanta,2026-05-16,85.5,87,1.5
Atlanta,2026-05-17,87.5,90,2.5
Atlanta,2026-05-18,89.0,87,-2.0
Atlanta,2026-05-19,89.0,88,-1.0
Atlanta,2026-05-20,88.5,91,2.5
Atlanta,2026-05-21,85.0,89,4.0
Atlanta,2026-05-22,84.5,88,3.5
Atlanta,2026-05-23,79.0,85,6.0
Atlanta,2026-05-24,81.0,84,3.0
Atlanta,2026-05-25,79.5,80,0.5
Atlanta,2026-05-26,79.5,82,2.5
Austin,2026-05-08,80.0,81,1.0
Austin,2026-05-09,89.0,89,0.0
Austin,2026-05-10,91.0,91,0.0
Austin,2026-05-11,80.0,82,2.0
Austin,2026-05-12,85.5,84,-1.5
Austin,2026-05-13,91.0,90,-1.0
Austin,2026-05-14,91.5,90,-1.5
Austin,2026-05-15,91.5,90,-1.5
Austin,2026-05-16,91.0,91,0.0
Austin,2026-05-17,89.5,89,-0.5
Austin,2026-05-18,91.0,92,1.0
Austin,2026-05-19,87.5,92,4.5
Austin,2026-05-20,82.0,85,3.0
Austin,2026-05-21,81.5,83,1.5
Austin,2026-05-22,88.0,88,0.0
Austin,2026-05-23,85.5,84,-1.5
Austin,2026-05-24,87.5,89,1.5
Austin,2026-05-25,88.5,89,0.5
Austin,2026-05-26,88.5,88,-0.5
Boston,2026-05-08,62.5,62,-0.5
Boston,2026-05-09,58.5,55,-3.5
Boston,2026-05-10,72.5,75,2.5
Boston,2026-05-11,62.5,62,-0.5
Boston,2026-05-12,60.0,64,4.0
Boston,2026-05-13,63.5,64,0.5
Boston,2026-05-14,58.5,63,4.5
Boston,2026-05-15,55.0,55,0.0
Boston,2026-05-16,76.0,80,4.0
Boston,2026-05-17,84.0,90,6.0
Boston,2026-05-18,71.0,71,0.0
Boston,2026-05-19,91.5,96,4.5
Boston,2026-05-20,89.0,91,2.0
Boston,2026-05-21,64.5,73,8.5
Boston,2026-05-22,59.5,59,-0.5
Boston,2026-05-23,60.0,61,1.0
Boston,2026-05-25,71.0,77,6.0
Boston,2026-05-26,81.0,84,3.0
Chicago,2026-05-08,66.5,65,-1.5
Chicago,2026-05-09,74.0,76,2.0
Chicago,2026-05-10,63.5,62,-1.5
Chicago,2026-05-11,56.0,56,0.0
Chicago,2026-05-12,77.0,74,-3.0
Chicago,2026-05-13,59.0,59,0.0
Chicago,2026-05-14,65.0,65,0.0
Chicago,2026-05-15,74.0,76,2.0
Chicago,2026-05-16,83.5,83,-0.5
Chicago,2026-05-17,85.5,87,1.5
Chicago,2026-05-18,80.0,80,0.0
Chicago,2026-05-19,77.5,79,1.5
Chicago,2026-05-20,57.5,61,3.5
Chicago,2026-05-21,60.5,61,0.5
Chicago,2026-05-22,67.0,67,0.0
Chicago,2026-05-23,68.5,70,1.5
Chicago,2026-05-24,75.0,74,-1.0
Chicago,2026-05-25,83.5,84,0.5
Chicago,2026-05-26,85.0,83,-2.0
Dallas,2026-05-08,80.5,76,-4.5
Dallas,2026-05-09,87.5,91,3.5
Dallas,2026-05-10,81.0,81,0.0
Dallas,2026-05-11,79.0,79,0.0
Dallas,2026-05-12,84.0,85,1.0
Dallas,2026-05-13,90.5,91,0.5
Dallas,2026-05-14,93.0,91,-2.0
Dallas,2026-05-15,89.5,90,0.5
Dallas,2026-05-16,90.0,88,-2.0
Dallas,2026-05-17,88.0,88,0.0
Dallas,2026-05-18,90.0,91,1.0
Dallas,2026-05-19,82.0,89,7.0
Dallas,2026-05-20,78.5,82,3.5
Dallas,2026-05-21,76.5,76,-0.5
Dallas,2026-05-22,84.0,87,3.0
Dallas,2026-05-23,83.5,84,0.5
Dallas,2026-05-24,85.5,89,3.5
Dallas,2026-05-25,85.0,88,3.0
Dallas,2026-05-26,85.5,88,2.5
Denver,2026-05-08,68.0,68,0.0
Denver,2026-05-09,75.5,75,-0.5
Denver,2026-05-10,68.5,68,-0.5
Denver,2026-05-11,85.0,85,0.0
Denver,2026-05-12,78.5,77,-1.5
Denver,2026-05-13,88.5,89,0.5
