event_date,city,city_abv,market_ticker,market_strike,low_range,high_range,forecast_avg,forecast_std,raw_yes_prob,outcome_yes,pnl_dollars,no_total_cost_dollars,net_position
2026-05-17,Chicago,CHI,KXHIGHCHI-26MAY17-B86.5,86.5,85.5,87.5,85.5,1.3,0.44,1,-290.33,290.26,-563
2026-05-17,Los Angeles,LAX,KXHIGHLAX-26MAY17-B68.5,68.5,67.5,69.5,69.0,1.4142135623730951,0.49,0,80.94,107.04,-188
2026-05-17,Los Angeles,LAX,KXHIGHLAX-26MAY17-B70.5,70.5,69.5,71.5,69.0,1.4142135623730951,0.32,1,-79.22,79.2,-176
2026-05-17,New York City,NY,KXHIGHNY-26MAY17-B87.5,87.5,86.5,88.5,89.0,1.2,0.32,1,-97.13,97.0696,-215
2026-05-17,Philadelphia,PHIL,KXHIGHPHIL-26MAY17-B90.5,90.5,89.5,91.5,90.0,1.3,0.53,0,7.2,6.792,-14
2026-05-17,Houston,THOU,KXHIGHTHOU-26MAY17-B87.5,87.5,86.5,88.5,87.5,1.9,0.4,1,-36.419999999999995,36.419,-78
2026-05-17,New Orleans,TNOLA,KXHIGHTNOLA-26MAY17-B84.5,84.5,83.5,85.5,85.0,1.2,0.56,0,6.220000000000001,7.7715,-14
2026-05-17,New Orleans,TNOLA,KXHIGHTNOLA-26MAY17-B86.5,86.5,85.5,87.5,85.0,1.2,0.32,1,-40.68000000000001,40.6677,-74
2026-05-17,Oklahoma City,TOKC,KXHIGHTOKC-26MAY17-B86.5,86.5,85.5,87.5,87.0,1.4142135623730951,0.49,0,184.68,211.28,-396
2026-05-17,Phoenix,TPHX,KXHIGHTPHX-26MAY17-B95.5,95.5,94.5,96.5,95.0,1.1,0.59,1,-28.7,28.7,-70
2026-05-17,San Francisco,TSFO,KXHIGHTSFO-26MAY17-B69.5,69.5,68.5,70.5,70.5,1.2,0.45,0,27.0,27.0,-54
2026-05-18,Austin,AUS,KXHIGHAUS-26MAY18-B92.5,92.5,91.5,93.5,91.0,1.4142135623730951,0.32,1,-287.88,287.88,-516
2026-05-18,Chicago,CHI,KXHIGHCHI-26MAY18-B82.5,82.5,81.5,83.5,80.0,1.4142135623730951,0.14,0,-0.26,0.252,0
2026-05-18,Los Angeles,LAX,KXHIGHLAX-26MAY18-B73.5,73.5,72.5,74.5,71.5,2.1213203435596424,0.24,0,73.49,101.5,-175
2026-05-18,Los Angeles,LAX,KXHIGHLAX-26MAY18-B71.5,71.5,70.5,72.5,71.5,2.1213203435596424,0.36,1,-151.27,151.2688,-318
2026-05-18,Philadelphia,PHIL,KXHIGHPHIL-26MAY18-B96.5,96.5,95.5,97.5,95.0,1.4142135623730951,0.32,1,-84.96,84.9472,-179
2026-05-18,Atlanta,TATL,KXHIGHTATL-26MAY18-B89.5,89.5,88.5,90.5,89.0,1.4142135623730951,0.49,0,239.85999999999999,187.132,-427
2026-05-18,Dallas,TDAL,KXHIGHTDAL-26MAY18-B90.5,90.5,89.5,91.5,90.0,1.2,0.56,1,-237.74,237.6284,-510
2026-05-18,Washington DC,TDC,KXHIGHTDC-26MAY18-B94.5,94.5,93.5,95.5,95.0,1.4142135623730951,0.49,0,0.41000000000000003,0.5808,-1
2026-05-18,Washington DC,TDC,KXHIGHTDC-26MAY18-B96.5,96.5,95.5,97.5,95.0,1.4142135623730951,0.32,0,26.0,26.0,-52
2026-05-18,Houston,THOU,KXHIGHTHOU-26MAY18-B88.5,88.5,87.5,89.5,88.0,1.9,0.39,0,72.74,65.2031,-138
