market_ticker,hi_no_config,fair_no_cents,effective_hi_no,ab_arm,safety_margin
KXHIGHMIA-26MAY18-B86.5,43.0,51.0,43.0,control,3
KXHIGHTDC-26MAY18-B96.5,50.0,68.0,50.0,control,3
KXHIGHTPHX-26MAY18-B90.5,55.0,69.0,55.0,control,3
KXHIGHTOKC-26MAY18-B86.5,55.0,64.0,55.0,control,3
KXHIGHTSEA-26MAY18-B64.5,50.0,68.0,50.0,control,3
KXHIGHTSATX-26MAY18-B91.5,55.0,40.0,37.0,treatment,3
KXHIGHTNOLA-26MAY18-T91,78.75,100.0,78.75,control,3
KXHIGHTMIN-26MAY18-B66.5,55.0,68.0,55.0,control,3
KXHIGHMIA-26MAY19-B88.5,43.0,70.0,43.0,control,3
KXHIGHDEN-26MAY19-B49.5,57.0,78.0,57.0,control,3
KXHIGHNY-26MAY19-B95.5,46.0,44.0,40.99999999999999,treatment,3
KXHIGHLAX-26MAY19-B73.5,58.0,68.0,58.0,control,3
KXHIGHTDC-26MAY19-B94.5,50.0,68.0,50.0,treatment,3
KXHIGHTDC-26MAY19-B96.5,50.0,51.0,50.0,control,3
KXHIGHTDC-26MAY19-T99,50.0,99.0,50.0,control,3
KXHIGHTPHX-26MAY19-B90.5,55.0,69.0,55.0,control,3
KXHIGHTLV-26MAY19-B82.5,55.0,41.0,38.0,treatment,3
KXHIGHTSFO-26MAY19-B81.5,50.0,76.0,50.0,treatment,3
KXHIGHTSFO-26MAY19-T82,50.0,92.0,50.0,treatment,3
KXHIGHTSATX-26MAY19-B91.5,55.0,68.0,55.0,control,3
KXHIGHTMIN-26MAY19-B54.5,55.0,64.0,55.0,control,3
KXHIGHTNOLA-26MAY19-B88.5,55.0,51.0,55.0,control,3
KXHIGHTBOS-26MAY19-T98,50.0,100.0,50.0,control,3
KXHIGHTSATX-26MAY18-B93.5,55.0,68.0,55.0,treatment,3
KXHIGHTNOLA-26MAY19-B90.5,55.0,68.0,55.0,treatment,3
KXHIGHMIA-26MAY20-B86.5,43.0,70.0,43.0,control,3
KXHIGHMIA-26MAY20-B88.5,43.0,38.0,35.0,treatment,3
KXHIGHMIA-26MAY20-T91,82.44,100.0,82.44,treatment,3
KXHIGHTHOU-26MAY20-B86.5,59.0,76.0,59.0,control,3
KXHIGHNY-26MAY20-T96,82.3,100.0,82.3,control,3
KXHIGHPHIL-26MAY20-B93.5,52.0,79.0,52.0,treatment,3
KXHIGHPHIL-26MAY20-B95.5,52.0,44.0,40.99999999999999,treatment,3
KXHIGHTATL-26MAY20-B88.5,55.0,40.0,37.0,treatment,3
KXHIGHTDC-26MAY20-B94.5,50.0,44.0,50.0,control,3
KXHIGHTLV-26MAY20-B85.5,55.0,41.0,38.0,treatment,3
KXHIGHTSFO-26MAY20-B72.5,50.0,64.0,50.0,control,3
KXHIGHTMIN-26MAY20-B64.5,55.0,58.0,55.0,control,3
KXHIGHAUS-26MAY17-T96,82.3,100.0,82.3,treatment,3
KXHIGHMIA-26MAY17-B87.5,43.0,38.0,43.0,control,3
KXHIGHTHOU-26MAY17-B89.5,59.0,65.0,59.0,treatment,3
KXHIGHNY-26MAY17-T90,71.49,99.0,71.49,control,3
KXHIGHPHIL-26MAY17-T93,82.37,100.0,82.37,treatment,3
KXHIGHTDC-26MAY17-B89.5,50.0,51.0,48.0,treatment,3
KXHIGHTDC-26MAY17-T90,50.0,86.0,50.0,treatment,3
KXHIGHTPHX-26MAY17-B93.5,55.0,53.0,55.0,control,3
KXHIGHTSFO-26MAY17-B71.5,50.0,55.0,50.0,treatment,3
KXHIGHTSATX-26MAY17-B90.5,55.0,40.0,55.0,control,3
KXHIGHTNOLA-26MAY17-B84.5,55.0,40.0,55.0,control,3
KXHIGHTBOS-26MAY17-B81.5,50.0,67.0,50.0,control,3
KXHIGHLAX-26MAY17-B68.5,58.0,68.0,58.0,control,3
KXHIGHAUS-26MAY21-T84,79.6,100.0,79.6,treatment,3
KXHIGHMIA-26MAY21-T92,82.44,100.0,82.44,control,3
KXHIGHDEN-26MAY21-B67.5,57.0,50.0,47.0,treatment,3
KXHIGHCHI-26MAY21-B58.5,56.0,68.0,56.0,control,3
KXHIGHLAX-26MAY21-B72.5,58.0,68.0,58.0,treatment,3
KXHIGHLAX-26MAY21-B74.5,58.0,44.0,40.99999999999999,treatment,3
KXHIGHTPHX-26MAY21-B93.5,55.0,69.0,55.0,treatment,3
KXHIGHTSFO-26MAY21-B71.5,50.0,44.0,40.99999999999999,treatment,3
KXHIGHTMIN-26MAY21-B64.5,55.0,68.0,55.0,treatment,3
KXHIGHTNOLA-26MAY21-B83.5,55.0,64.0,55.0,treatment,3
KXHIGHTDC-26MAY21-B69.5,50.0,79.0,50.0,treatment,3
KXHIGHTPHX-26MAY21-B97.5,55.0,69.0,55.0,treatment,3
KXHIGHCHI-26MAY20-B59.5,56.0,79.0,56.0,control,3
KXHIGHLAX-26MAY20-B75.5,58.0,55.0,58.0,control,3
KXHIGHLAX-26MAY20-T76,24.990000000000002,50.0,24.990000000000002,control,3
KXHIGHTOKC-26MAY21-B69.5,55.0,68.0,55.0,control,3
KXHIGHMIA-26MAY26-B90.5,43.0,70.0,43.0,control,3
