restaurant_id,name,state,lat,lon,chicken_burrito_price,method
6234,Plaza Fiesta San Agustin,,25.648334,-100.337342,0.0,burrito-oor:Chicken Burrito
4684,Sunridge,AB,51.080964,-113.995152,12.7,burrito:Chicken Burrito
4743,Northland Village,AB,51.098945,-114.14147,12.7,burrito:Chicken Burrito
4843,Sage Hill,AB,51.171593,-114.14483,12.7,burrito:Chicken Burrito
4980,Seton,AB,50.879748,-113.957911,12.7,burrito:Chicken Burrito
5100,17th Avenue,AB,51.037797,-114.08014,12.7,burrito:Chicken Burrito
5825,East Hills Calgary,AB,51.042589,-113.914866,12.7,burrito:Chicken Burrito
5911,WestHills,AB,51.016344,-114.16745,12.7,burrito:Chicken Burrito
1131,Inverness,AL,33.422581,-86.698268,8.95,burrito:Chicken Burrito
1735,Auburn Campus,AL,32.606818,-85.487317,8.45,burrito:Chicken Burrito
1796,Huntsville University Drive,AL,34.742178,-86.665714,8.6,burrito:Chicken Burrito
2037,Montgomery Eastchase,AL,32.359183,-86.162277,9.8,burrito:Chicken Burrito
2054,BAMA Campus,AL,33.210743,-87.553572,8.6,burrito:Chicken Burrito
2205,Mobile,AL,30.675336,-88.143691,9.2,burrito:Chicken Burrito
2216,Prattville AL,AL,32.459167,-86.391323,9.95,burrito:Chicken Burrito
2530,Tiger Town Auburn,AL,32.616801,-85.404508,9.35,burrito:Chicken Burrito
2542,Vestavia Hills,AL,33.438963,-86.788295,9.5,burrito:Chicken Burrito
2642,UAB Birmingham,AL,33.509777,-86.802721,9.65,burrito:Chicken Burrito
2894,Trussville,AL,33.5956,-86.647453,9.8,burrito:Chicken Burrito
3029,Westwood Plaza,AL,30.681527,-88.224163,9.35,burrito:Chicken Burrito
3512,Cullman,AL,34.154151,-86.84121,9.35,burrito:Chicken Burrito
3518,Decatur AL,AL,34.561501,-86.975632,8.75,burrito:Chicken Burrito
3539,Clift Farms,AL,34.75046,-86.759471,9.35,burrito:Chicken Burrito
3605,Stadium Trace,AL,33.355007,-86.848995,9.8,burrito:Chicken Burrito
3710,Oxford,AL,33.6083,-85.7873,9.95,burrito:Chicken Burrito
3739,Gardendale,AL,33.651229,-86.825584,9.65,burrito:Chicken Burrito
3804,Athens AL,AL,34.785227,-86.945742,8.95,burrito:Chicken Burrito
3955,Dothan,AL,31.246394,-85.428363,9.35,burrito:Chicken Burrito
4076,Town Madison,AL,34.684398,-86.71791,8.75,burrito:Chicken Burrito
4187,Lakeshore,AL,33.445756,-86.825986,9.5,burrito:Chicken Burrito
4267,Foley,AL,30.372448,-87.683802,9.35,burrito:Chicken Burrito
4420,Alabaster,AL,33.2336,-86.81136,9.95,burrito:Chicken Burrito
4484,Cahaba Point,AL,33.418301,-86.675797,9.8,burrito:Chicken Burrito
4519,Daphne,AL,30.597243,-87.898838,9.8,burrito:Chicken Burrito
4764,Phenix City,AL,32.4949,-85.04123,9.5,burrito:Chicken Burrito
4862,Florence AL,AL,34.836763,-87.631528,9.15,burrito:Chicken Burrito
5080,Moody,AL,33.57008,-86.520627,9.8,burrito:Chicken Burrito
5113,Eastern Blvd,AL,32.346542,-86.223679,9.95,burrito:Chicken Burrito
5255,Auburn Mall,AL,32.624969,-85.445195,9.65,burrito:Chicken Burrito
5274,Tillmans Corner,AL,30.595026,-88.170038,9.35,burrito:Chicken Burrito
941,Riverchase,AL,33.378965,-86.803812,9.2,burrito:Chicken Burrito
989,Bama (University of Alabama),AL,33.196767,-87.52704,8.45,burrito:Chicken Burrito
1603,University of Arkansas,AR,36.06675,-94.166113,8.6,burrito:Chicken Burrito
1632,Pleasant Ridge Town Center,AR,34.794012,-92.400984,9.8,burrito:Chicken Burrito
2057,University & Markham,AR,34.75202,-92.341761,10.15,burrito:Chicken Burrito
2136,Bentonville,AR,36.334667,-94.18512,9.65,burrito:Chicken Burrito
2458,College & Millsap,AR,36.112765,-94.145347,9.8,burrito:Chicken Burrito
2795,Conway,AR,35.091114,-92.418228,9.65,burrito:Chicken Burrito
3936,Chenal & Markham,AR,34.753684,-92.412967,9.15,burrito:Chicken Burrito
3938,Jonesboro II,AR,35.824007,-90.679581,9.8,burrito:Chicken Burrito
4216,North Little Rock,AR,34.791804,-92.228778,9.8,burrito:Chicken Burrito
4468,Fort Smith,AR,35.358764,-94.36311,9.2,burrito:Chicken Burrito
4722,Springdale,AR,36.176672,-94.194478,9.95,burrito:Chicken Burrito
4988,Hot Springs,AR,34.454817,-93.065248,9.2,burrito:Chicken Burrito
5240,Centerton,AR,36.357457,-94.256614,9.95,burrito:Chicken Burrito
5356,West Conway,AR,35.091963,-92.470812,9.8,burrito:Chicken Burrito
5357,Russellville,AR,35.278297,-93.094263,9.65,burrito:Chicken Burrito
5390,Searcy,AR,35.249859,-91.697898,9.95,burrito:Chicken Burrito
5667,Fayetteville Wedington Dr.,AR,36.07899,-94.21391,9.2,burrito:Chicken Burrito
6024,North Bentonville,AR,36.3639,-94.19156,9.8,burrito:Chicken Burrito
1079,South Mountain,AZ,33.377228,-112.029866,9.8,burrito:Chicken Burrito
1119,Nortera,AZ,33.714577,-112.112513,9.65,burrito:Chicken Burrito
116,University Square,AZ,32.231861,-110.957487,8.95,burrito:Chicken Burrito
1163,Ritten House,AZ,33.256155,-111.638908,9.8,burrito:Chicken Burrito
1208,ASU,AZ,33.417977,-111.940362,9.5,burrito:Chicken Burrito
1301,Downtown Scottsdale,AZ,33.503359,-111.925649,9.95,burrito:Chicken Burrito
1322,Rural & Baseline,AZ,33.377901,-111.929047,9.65,burrito:Chicken Burrito
1427,Casa Grande,AZ,32.879117,-111.711079,9.95,burrito:Chicken Burrito
1448,Northern Crossing,AZ,33.55238,-112.185552,9.95,burrito:Chicken Burrito
1450,7th St. & Bell Road,AZ,33.639914,-112.067442,9.95,burrito:Chicken Burrito
