date,value,lo,hi,source
2026-03-03,3.1090,,,wayback
2026-03-04,3.1980,,,wayback
2026-03-05,3.2510,,,wayback
2026-03-10,3.5390,,,wayback
2026-03-12,3.5980,,,wayback
2026-03-20,3.9120,,,wayback
2026-03-21,3.9250,,,wayback
2026-03-25,3.9830,,,wayback
2026-04-01,4.0640,,,wayback
2026-04-02,4.0810,,,wayback
2026-04-11,4.1350,,,wayback
2026-04-19,4.0480,,,wayback
2026-04-22,4.0200,,,wayback
2026-04-26,4.0990,,,wayback
2026-04-28,4.1760,,,wayback
2026-05-04,4.4570,,,wayback
2026-05-08,4.5460,,,wayback
2026-05-11,4.5200,,,wayback
2026-05-12,4.5040,,,wayback
2026-05-14,4.5340,,,wayback
2026-05-17,4.5130,,,wayback
2026-05-18,4.5150,,,wayback
2026-05-19,4.5330,,,wayback
2026-05-21,4.5640,,,wayback
2026-05-22,,4.5500,4.5550,kalshi_mid
2026-05-23,,4.5250,4.5300,kalshi_mid
2026-05-24,,4.5100,4.5150,kalshi_mid
2026-05-25,,4.5050,4.5100,kalshi_mid
2026-05-26,4.4910,,,wayback
2026-05-27,,4.4550,4.4600,kalshi_mid
2026-05-28,,4.4250,4.4300,kalshi_mid
2026-05-29,,4.3900,4.3950,kalshi_mid
2026-05-30,,4.3550,4.3600,kalshi_mid
2026-05-31,,4.3350,4.3400,kalshi_mid
2026-06-01,,4.3200,4.3250,kalshi_mid
2026-06-02,,4.2850,4.2900,kalshi_mid
2026-06-03,4.2610,,,wayback
2026-06-04,4.2410,,,wayback
2026-06-05,,4.2150,4.2200,kalshi_mid
2026-06-06,,4.1900,4.1950,kalshi_mid
2026-06-07,,4.1700,4.1750,kalshi_mid
2026-06-08,,4.1600,4.1650,kalshi_mid
2026-06-09,,4.1600,4.1650,kalshi_mid
2026-06-10,,4.1500,4.1550,kalshi_mid
2026-06-11,4.1290,,,wayback
2026-06-12,,4.1050,4.1100,kalshi_mid
2026-06-13,,4.0850,4.0900,kalshi_mid
2026-06-14,,4.0700,4.0750,kalshi_mid
2026-06-15,,4.0600,4.0650,kalshi_mid
2026-06-16,,4.0400,4.0450,kalshi_mid
2026-06-17,,4.0200,4.0250,kalshi_mid
2026-06-18,,3.9950,4.0000,kalshi_mid
2026-06-19,,3.9700,3.9750,kalshi_mid
2026-06-20,,3.9500,3.9550,kalshi_mid
2026-06-21,3.9380,,,wayback
2026-06-22,,3.9250,3.9300,kalshi_mid
2026-06-23,3.9260,,,wayback
2026-06-24,,3.9250,3.9300,kalshi_mid
2026-06-25,,3.9150,3.9200,kalshi_mid
2026-06-26,,3.9000,3.9050,kalshi_mid
2026-06-27,,3.8750,3.8800,kalshi_mid
2026-06-28,,3.8650,3.8700,kalshi_mid
2026-06-29,,3.8550,3.8600,kalshi_mid
2026-06-30,,3.8450,3.8500,kalshi_mid
2026-07-01,,3.8450,3.8500,kalshi_mid
2026-07-02,3.8380,,,wayback
2026-07-03,,3.8200,3.8250,kalshi_mid
2026-07-04,,3.8050,3.8100,kalshi_mid
2026-07-05,,3.8000,3.8050,kalshi_mid
2026-07-06,,3.7950,3.8000,kalshi_mid
2026-07-07,,3.7850,3.7900,kalshi_mid
2026-07-08,3.7960,,,wayback
2026-07-09,,3.8450,3.8500,kalshi_mid
2026-07-10,,3.8800,3.8850,kalshi_mid
2026-07-11,3.8820,,,wayback
2026-07-12,3.8760,,,wayback
2026-07-13,,3.8700,3.8750,kalshi_mid
2026-07-14,,3.8550,3.8600,kalshi_mid
2026-07-15,,3.8850,3.8900,kalshi_mid
2026-07-16,,3.9400,3.9450,kalshi_mid
2026-07-17,,3.9800,3.9850,kalshi_mid
2026-07-18,,3.9900,3.9950,kalshi_mid
2026-07-19,,3.9950,4.0000,kalshi_mid
2026-07-20,,4.0000,4.0050,kalshi_mid
2026-07-21,,4.0150,4.0200,kalshi_mid
2026-07-22,4.0600,,,wayback
2026-07-23,,4.0900,4.0950,kalshi_mid
2026-07-24,,4.1000,4.1050,kalshi_mid
2026-07-25,,4.1100,4.1150,kalshi_mid
2026-07-26,4.1100,,,wayback
2026-07-27,,4.1050,4.1100,kalshi_mid
2026-07-28,4.0990,,,live
