date,cash,positions_value,equity,kalshi_positions_value
2026-08-14,10841.96,9444.3,20286.26,8764.04
2026-08-15,10642.31,9772.33,20414.64,9234.51
2026-08-16,10816.14,9784.9,20601.04,9157.57
2026-08-17,10342.09,10426.33,20768.42,9717.51
2026-08-18,9835.33,10695.43,20530.76,10015.42
2026-08-19,9349.9,11721.75,21071.65,10990.52
2026-08-20,9192.64,11492.1,20684.74,10756.97
2026-08-21,9167.56,10990.71,20158.27,9974.83
2026-08-22,7267.25,12150.2,19417.45,10991.31
2026-08-23,6990.86,12677.9,19668.76,12041.82
2026-08-24,6358.71,13431.95,19790.66,12397.71
2026-08-25,5590.43,14322.92,19913.35,13179.64
2026-08-26,5951.08,14194.49,20145.57,13307.69
2026-08-27,6505.73,13592.23,20097.96,12699.34
2026-08-28,6306.65,14469.47,20776.12,13506.98
2026-08-29,7410.81,13880.0,21290.81,12758.33
2026-08-30,7616.02,13930.76,21546.78,12670.7
2026-08-31,7703.11,14022.65,21725.76,13153.05
2026-09-01,7958.78,13327.3,21286.08,12812.95
2026-09-02,13955.3,7027.24,20982.54,6534.51
2026-09-03,11815.27,8174.63,19989.9,7577.42
2026-09-04,12131.59,8403.03,20534.62,7930.87
2026-09-05,12017.49,8484.21,20501.7,8164.81
2026-09-06,11940.91,8898.32,20839.23,8400.01
2026-09-07,12324.63,9678.04,22002.67,9201.36
2026-09-08,12348.66,9777.52,22126.18,9192.09
2026-09-09,12068.49,9531.72,21600.21,9050.13
2026-09-10,11250.17,10073.83,21324.0,9422.23
2026-09-11,10865.04,10075.81,20940.85,9406.15
2026-09-12,11051.5,10630.49,21681.99,10027.28
2026-09-13,11381.43,10390.45,21771.88,9713.67
